Name (UZ) / Название,Category,Kcal,Protein (г),Carbs (г),Fat (г)
Mevalar va rezavorlar (Фрукты и ягоды),,,,,
Mandarin (Мандарин свежий),Mevalar,53,0.8,13.3,0.3
Greypfrut (Грейпфрут свежий),Mevalar,42,0.8,10.7,0.1
Olxo'ri (Слива свежая),Mevalar,46,0.7,11.4,0.3
Gilos (Черешня свежая),Mevalar,52,1.1,10.6,0.4
Olcha (Вишня свежая),Mevalar,50,1.0,12.2,0.3
Chernika (Черника свежая),Mevalar,44,1.1,7.6,0.6
Qora smorodina (Черная смородина),Mevalar,44,1.0,7.3,0.4
Malina yangi (Малина свежая),Mevalar,52,1.2,11.9,0.6
Behi yangi (Айва свежая),Mevalar,48,0.6,9.6,0.5
Qoroli (Чернослив без косточки),Quruq mevalar,240,2.2,63.9,0.4
Olma qoqi (Сушеные яблоки),Quruq mevalar,253,2.2,59.0,0.1
Urug'lar va yong'oqlar (Семена и орехи),,,,,
Kunjut urug'i (Кунжут / семена),Urug'lar,573,17.7,23.4,49.7
Zig'ir urug'i (Семена льна),Urug'lar,534,18.3,28.9,42.2
Chia urug'i (Семена чиа),Urug'lar,486,16.5,42.1,30.7
Kedr yong'og'i (Кедровые орехи),Yong'oqlar,673,13.7,13.1,68.4
Pekan yong'og'i (Орех пекан),Yong'oqlar,691,9.2,13.9,72.0
Braziliya yong'og'i (Бразильский орех),Yong'oqlar,656,14.3,12.3,66.4
Yormalar va un (Крупы и мука),,,,,
Kinoa (Киноа крупа),Don mahsulotlari,368,14.1,64.2,6.1
Amarant yormasi (Амарант крупа),Don mahsulotlari,371,13.6,68.6,7.1
Arpa yormasi / Yachka (Ячневая крупа),Don mahsulotlari,313,10.0,65.4,1.3
Javdar uni (Ржаная мука),Un mahsulotlari,298,8.9,61.8,1.2
Guruch uni (Рисовая мука),Un mahsulotlari,366,5.9,80.1,1.4
Makkajo'xori uni (Кукурузная мука),Un mahsulotlari,331,7.2,72.1,1.5
Konservalar va qo'shimchalar (Консервы и бакалея),,,,,
Sarimsoqpiyoz yangi (Чеснок свежий),Sabzavotlar,149,6.4,33.1,0.5
Konservalangan makkajo'xori (Кукуруза конс.),Konservalar,58,2.2,11.2,0.4
Konservalangan ko'k no'xat (Горошек конс.),Konservalar,40,3.1,6.5,0.2
Shprot yog'da (Шпроты в масле),Konservalar,363,17.4,0.0,32.4
Quruq sut (Сухое молоко),Sut mahsulotlari,496,26.0,38.0,26.5
Jelatin (Желатин пищевой),Boshqalar,355,87.2,0.7,0.4
Xantal kukuni (Горчичный порошок),Ziravorlar,378,37.1,11.1,11.1
Limon kislotasi (Лимонная кислота),Ziravorlar,0,0.0,0.0,0.0
Jigarrang shakar (Тростниковый сахар),Shirinliklar,377,0.0,97.3,0.0
Pishiriqlar va shirinliklar (Сладости и выпечка),,,,,
Kungaboqar holvasi (Подсолнечная халва),Shirinliklar,516,11.6,54.0,29.7
Pryanik (Пряники классические),Shirinliklar,336,4.8,77.7,2.8
Sushka / Baranka (Сушки),Non mahsulotlari,336,10.5,68.7,1.3
Karamel konfeti (Карамель леденцовая),Shirinliklar,377,0.0,97.0,0.1
Iris konfeti (Конфеты Ирис),Shirinliklar,387,3.3,81.8,4.3
